stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00174P,,Boulevard Pelepah Raya,,-6.159256,106.90317,1,,0,2,,
B00175P,,BP3IP Sunter,,-6.137845,106.87619,1,,0,2,,
B00176P,,BPHN,,-6.259724,106.86834,1,,0,2,,
B00177P,,BPJS Jaksel,,-6.249682,106.84318,1,,0,2,,
B00178P,,BPJS Kesehatan Sultan Hasanudin,,-6.242517,106.80229,1,,0,2,,
B00179P,,BPJS Ketenagakerjaan Marunda,,-6.104983,106.93254,1,,0,2,,
B00180P,,BPK Penabur Kelapa Gading,,-6.147463,106.90796,1,,0,2,,
B00182P,,BPPSPAM,,-6.244679,106.80918,1,,0,2,,
B00183P,,BRI Jakarta Kota,,-6.135104,106.80752,1,,0,2,,
B00129P,,Bercabuana Sakti,,-6.270086,106.76549,1,,0,2,,
B00184P,,BRI Menteng,,-6.186792,106.83514,1,,0,2,,
B00185P,,Brimob Pejaten Barat 2,,-6.270925,106.84644,1,,0,2,,
B00188P,,BSD Plaza 1,,-6.278263,106.66103,1,,0,2,,
B00189P,,BSD Plaza 2,,-6.280847,106.66305,1,,0,2,,
B00190P,,BSI 1,,-6.237724,106.76225,1,,0,2,,
B00191P,,BSI 2,,-6.237609,106.76252,1,,0,2,,
B00192P,,BSI Cengkareng,,-6.147973,106.72781,1,,0,2,,
B00194P,,BTC 2,,-6.258258,107.0206,1,,0,2,,
B00195P,,Buaran Plaza,,-6.217983,106.9235,1,,0,2,,
B00196P,,Buaran Raya,,-6.220456,106.92176,1,,0,2,,
B00197P,,Buddha Tzu Chi,,-6.107998,106.73942,1,,0,2,,
B00198P,,Budhaya Santo Agustinus,,-6.220866,106.92346,1,,0,2,,
B00199P,,Budhi Medika Meruya Utara,,-6.196934,106.73231,1,,0,2,,
B00200P,,Budi Kemulyaan,,-6.180223,106.8178,1,,0,2,,
B00201P,,Budiwarman 1,,-6.279071,106.87019,1,,0,2,,
B00202P,,Budiwarman 2,,-6.279048,106.870363,1,,0,2,,
B00203P,,Bukit Cinere Indah,,-6.340012,106.77991,1,,0,2,,
B00205P,,Bukit Duri,,-6.21551,106.86293,1,,0,2,,
B00206P,,Bulak Rantai,,-6.284664,106.87123,1,,0,2,,
B00207P,,Bulak Turi,,-6.104952,106.97016,1,,0,2,,
B00208P,,Bulak Turi 2,,-6.105145,106.97009,1,,0,2,,
B00209P,,Bulog,,-6.237665,106.82917,1,,0,2,,
B00211P,,Bumi Jatiwaringin,,-6.275283,106.91282,1,,0,2,,
B00213P,,Bumi Perkemahan Ragunan,,-6.295825,106.82153,1,,0,2,,
B00214P,,Bumiputera,,-6.206839,106.82234,1,,0,2,,
B00215P,,Bunda Hati Kudus Jelambar,,-6.165552,106.78484,1,,0,2,,
B00216P,,Bundaran Alam Sutera 1,,-6.244107,106.64889,1,,0,2,,
B00217P,,Bundaran Alam Sutera 2,,-6.243905,106.64901,1,,0,2,,
B00218P,,Bundaran Cipinang Kebembem,,-6.211974,106.88891,1,,0,2,,
B00219P,,Bundaran Harapan Indah,,-6.183719,106.97727,1,,0,2,,
B00220P,,Bundaran Semper,,-6.128609,106.91759,1,,0,2,,
B00221P,,Bundaran Senayan 1,,-6.227445,106.80187,1,,0,2,,
B00222P,,Bundaran Senayan 2,,-6.227877,106.80068,1,,0,2,,
B00223P,,Bundaran Stainless Harapan Indah,,-6.178666,106.98132,1,,0,2,,
B00226P,,Buperta Cibubur,,-6.369608,106.896189,1,,0,2,,
B00227P,,Carrefour Buaran,,-6.218653,106.9237,1,,0,2,,
B00228P,,Carrefour Harapan Indah,,-6.187189,106.97684,1,,0,2,,
B00229P,,Carrefour Lebak Bulus,,-6.287529,106.7768,1,,0,2,,
B00230P,,Carrefour Meruya Ilir,,-6.197521,106.75129,1,,0,2,,
B00232P,,Cawang Blue Bird,,-6.248836,106.87801,1,,0,2,,
B00233P,,Cawang Blue Bird 2,,-6.248866,106.87753,1,,0,2,,
B00234P,,Cawang Soetoyo 1,,-6.24544,106.87548,1,,0,2,,
B00235P,,Cawang Soetoyo 2,,-6.245259,106.876,1,,0,2,,
B00236P,,Cawang UKI 1,,-6.250807,106.87364,1,,0,2,,
B00237P,,Cek & Ricek,,-6.215349,106.72961,1,,0,2,,
B00238P,,Cempaka,,-6.277541,106.76223,1,,0,2,,
B00239P,,Cempaka Putih Tengah,,-6.176736,106.86444,1,,0,2,,
B00240P,,Cempaka Timur 2,,-6.166318,106.87617,1,,0,2,,
B00241P,,Centennial Tower,,-6.230377,106.82026,1,,0,2,,
B00242P,,Centro Metro Broadway,,-6.116362,106.76143,1,,0,2,,
B00243P,,Cervino Village,,-6.224355,106.85165,1,,0,2,,
B00244P,,Chase Plaza,,-6.210571,106.82129,1,,0,2,,
B00245P,,Child Care Pre School,,-6.257557,106.8009,1,,0,2,,
B00246P,,Ciba,,-6.342837,106.86901,1,,0,2,,
B00247P,,Cibubur Indah II,,-6.35207,106.88704,1,,0,2,,
B00248P,,Cibubur Junction,,-6.368735,106.89366,1,,0,2,,
B00249P,,Cideng Timur,,-6.166537,106.81073,1,,0,2,,
B00250P,,Cikajang Wolter Monginsidi,,-6.239122,106.81084,1,,0,2,,
B00251P,,Cilandak,,-6.29195,106.81519,1,,0,2,,
B00252P,,Cilandak Tengah,,-6.292028,106.802056,1,,0,2,,
B00253P,,Cilandak Town Square,,-6.291991,106.79967,1,,0,2,,
B00254P,,Cililitan,,-6.263311,106.86524,1,,0,2,,
B00255P,,Cililitan Besar 1,,-6.263567,106.86709,1,,0,2,,
B00256P,,Cililitan Besar 2,,-6.263478,106.86694,1,,0,2,,
B00257P,,Cililitan Kecil,,-6.261889,106.86423,1,,0,2,,
B00260P,,Cipinang Baru,,-6.206806,106.89025,1,,0,2,,
B00261P,,Cipinang Baru Bunder,,-6.20713,106.88603,1,,0,2,,
B00262P,,Cipinang BKT,,-6.229448,106.89288,1,,0,2,,
B00263P,,Cipinang Indah,,-6.22943,106.89116,1,,0,2,,
B00264P,,Cipinang Kb. Nanas 1,,-6.231595,106.87615,1,,0,2,,
B00265P,,Cipinang Kb. Nanas 2,,-6.231453,106.87647,1,,0,2,,
B00266P,,Cipinang Lontar,,-6.214031,106.88836,1,,0,2,,
B00267P,,Cipinang Lontar Rusun Polri,,-6.206815,106.88785,1,,0,2,,
B00268P,,Cipinang Melayu Kalimalang,,-6.240168,106.88473,1,,0,2,,
B00269P,,Cipinang Melayu Kalimalang 2,,-6.24004,106.8828,1,,0,2,,
B00270P,,Cipinang Melayu Kalimalang 3,,-6.240143,106.88077,1,,0,2,,
B00271P,,Cipinang Muara III Muara Jaya,,-6.218869,106.8926,1,,0,2,,
B00272P,,Cipta Karya Tata Ruang Pertahanan 1,,-6.179781,106.81041,1,,0,2,,
B00273P,,Cipta Karya Tata Ruang Pertahanan 2,,-6.179903,106.81049,1,,0,2,,
B00274P,,Cipta Rasuna Said,,-6.216146,106.83087,1,,0,2,,
B00275P,,Cipulir 1,,-6.237918,106.7749,1,,0,2,,
B00276P,,Cirendeu Permai,,-6.289561,106.76894,1,,0,2,,
B00278P,,City Walk Sudirman,,-6.209468,106.81783,1,,0,2,,
B00279P,,Classic Hotel,,-6.162308,106.83007,1,,0,2,,
B00281P,,Condet Raya,,-6.280969,106.85517,1,,0,2,,
B00282P,,CPI Belakang 1,,-6.237437,106.89436,1,,0,2,,
B00283P,,CPI Belakang 2,,-6.237257,106.89416,1,,0,2,,
B00284P,,Curug Kalimalang,,-6.24774,106.92454,1,,0,2,,
B00285P,,Cut Meutia,,-6.187542,106.83294,1,,0,2,,
B00286P,,Cyberpark Karawaci,,-6.222465,106.61844,1,,0,2,,
B00287P,,D Mall,,-6.387291,106.8273,1,,0,2,,
B00288P,,Daarus Saada Duri Kosambi,,-6.176932,106.7079,1,,0,2,,
B00289P,,Dahlia Town House,,-6.302547,106.78796,1,,0,2,,
B00290P,,Dammara,,-6.25419,106.83146,1,,0,2,,
B00291P,,Dana Reksa,,-6.181365,106.82451,1,,0,2,,
B00292P,,Danau Agung 1,,-6.147281,106.8582,1,,0,2,,
B00293P,,Danau Tmp Kalibata,,-6.255698,106.84944,1,,0,2,,
B00295P,,Dapsus 1,,-6.301135,106.79484,1,,0,2,,
B00296P,,Dapsus 2,,-6.301728,106.79463,1,,0,2,,
B00297P,,Dapsus 3,,-6.301746,106.79477,1,,0,2,,
B00298P,,Dapsus 4,,-6.301649,106.79472,1,,0,2,,
B00299P,,Darmawangsa Square,,-6.253048,106.80116,1,,0,2,,
B00300P,,Darul Aitam Pondok Pinang,,-6.274498,106.77381,1,,0,2,,
B00301P,,Dato Tonggara,,-6.283918,106.87222,1,,0,2,,
B00302P,,Depo LRT Pegangsaan Dua,,-6.15505,106.9137,1,,0,2,,
B00304P,,Dewan Pers,,-6.182996,106.82709,1,,0,2,,
B00305P,,Dharma Bakti Cijantung,,-6.318713,106.86463,1,,0,2,,
B00306P,,Dinas Kebersihan Duren Sawit,,-6.219815,106.92338,1,,0,2,,
B00307P,,Dinas Lingkungan Hidup,,-6.264168,106.87033,1,,0,2,,
B00308P,,Dinas Olahraga Dan Pemuda,,-6.219715,106.86802,1,,0,2,,
B00309P,,Dinas Pengawasan Dan Penertiban Bangunan,,-6.182268,106.81114,1,,0,2,,
B00310P,,Dipo Lokomotif Tanah Abang,,-6.182333,106.81089,1,,0,2,,
B00311P,,Dipo Tower,,-6.203007,106.80074,1,,0,2,,
B00312P,,Direktorat Jenderal Hortikultura,,-6.285538,106.8393,1,,0,2,,
B00313P,,Direktorat Jenderal Pajak,,-6.224628,106.81558,1,,0,2,,
B00314P,,Dirjen Anggaran,,-6.227253,106.89881,1,,0,2,,
B00316P,,Dishub Jakut,,-6.122876,106.89367,1,,0,2,,
B00317P,,Dittopad,,-6.174759,106.84823,1,,0,2,,
B00318P,,Dittopad 2,,-6.174618,106.85009,1,,0,2,,
B00319P,,DPD Golkar,,-6.197504,106.84022,1,,0,2,,
B00320P,,DPP FPI,,-6.194368,106.80536,1,,0,2,,
B00321P,,DPR MPR 1,,-6.208517,106.80379,1,,0,2,,
B00322P,,DPR MPR 2,,-6.206314,106.80194,1,,0,2,,
B00324P,,Dukuh 5,,-6.289913,106.87753,1,,0,2,,
B00325P,,Dukuh Atas 3,,-6.20565,106.8225,1,,0,2,,
B00326P,,Dukuh Atas 4,,-6.204819,106.8221,1,,0,2,,
B00327P,,Dukuh Permai Residence,,-6.302631,106.8785,1,,0,2,,
B00328P,,Duren Sawit,,-6.233341,106.91006,1,,0,2,,
B00329P,,Duren Tiga 1,,-6.252132,106.82702,1,,0,2,,
B00330P,,Duri Kepa 1,,-6.185474,106.76836,1,,0,2,,
B00331P,,Duri Kepa 2,,-6.185432,106.76854,1,,0,2,,
B00332P,,Dwijaya,,-6.262287,106.78855,1,,0,2,,
B00333P,,Ekowisata Mangrove,,-6.121673,106.75482,1,,0,2,,
B00334P,,EKS Komplek Gaya Motor,,-6.105771,106.93063,1,,0,2,,
B00335P,,Embun Pagi Islamic Elementary School,,-6.248768,106.92911,1,,0,2,,
B00336P,,Embun Pagi Islamic School,,-6.247711,106.91892,1,,0,2,,
B00338P,,Enggano 1,,-6.110213,106.89246,1,,0,2,,
B00339P,,Enggano 2,,-6.110031,106.89246,1,,0,2,,
B00340P,,Epiwalk Epicentrum,,-6.217666,106.83547,1,,0,2,,
B00341P,,Erha Clinic,,-6.147269,106.89796,1,,0,2,,
B00342P,,Essence Dharmawangsa,,-6.257365,106.80495,1,,0,2,,
B00344P,,Exit Tol UKI,,-6.257445,106.87049,1,,0,2,,
B00346P,,Farmasi RP Soeroso,,-6.187939,106.83608,1,,0,2,,
B00347P,,Fatmawati 1,,-6.292571,106.79743,1,,0,2,,
B00348P,,Fatmawati 2,,-6.291994,106.79606,1,,0,2,,
B00349P,,Flyover Bintaro,,-6.25748,106.76478,1,,0,2,,
B00350P,,Flyover Cipinang Lontar,,-6.212876,106.88891,1,,0,2,,
B00351P,,Flyover HBR Motik 1,,-6.152627,106.84989,1,,0,2,,
B00352P,,Flyover HBR Motik 2,,-6.152807,106.8506,1,,0,2,,
B00354P,,Flyover Jatinegara 1,,-6.215301,106.87356,1,,0,2,,
B00355P,,Flyover Jatinegara 2,,-6.215074,106.87332,1,,0,2,,
B00356P,,Flyover Jatinegara Atas,,-6.214553,106.87388,1,,0,2,,
B00357P,,Flyover Jatinegara Bawah,,-6.214707,106.87383,1,,0,2,,
B00358P,,Flyover Kampung Melayu,,-6.22506,106.86483,1,,0,2,,
B00360P,,Flyover Karet 2,,-6.214808,106.81847,1,,0,2,,
B00361P,,Flyover Klender 1,,-6.213499,106.90245,1,,0,2,,
B00362P,,Flyover Klender 2,,-6.213721,106.90252,1,,0,2,,
B00363P,,Flyover Ps. Klender 1,,-6.211058,106.90153,1,,0,2,,
B00364P,,Flyover Ps. Klender 2,,-6.211371,106.90103,1,,0,2,,
B00365P,,Flyover Pondok Kopi,,-6.217758,106.93843,1,,0,2,,
B00366P,,Flyover Pulo Gebang 1,,-6.210497,106.95047,1,,0,2,,
B00367P,,Flyover Pulo Gebang 2,,-6.210438,106.95062,1,,0,2,,
B00368P,,Flyover Radin Inten 1,,-6.216112,106.92439,1,,0,2,,
B00323P,,DPRD DKI Jakarta,,-6.182886,106.82851,1,,0,2,,
B00337P,,Empang 3,,-6.263342,106.84318,1,,0,2,,
B00369P,,Flyover Radin Inten 2,,-6.215843,106.92408,1,,0,2,,
B00370P,,Flyover Semanan Indah 1,,-6.161654,106.72649,1,,0,2,,
B00371P,,Flyover Semanan Indah 2,,-6.161743,106.72693,1,,0,2,,
B00372P,,Flyover Setiabudi,,-6.202064,106.8281,1,,0,2,,
B00373P,,Flyover Slipi Kemanggisan,,-6.189613,106.79742,1,,0,2,,
B00374P,,Flyover Tj. Barat,,-6.303059,106.83998,1,,0,2,,
B00376P,,Formindo Prima Agung,,-6.120335,106.70853,1,,0,2,,
B00377P,,Fresh Market PIK,,-6.1029,106.74123,1,,0,2,,
B00379P,,Gading Griya Lestari,,-6.141405,106.92188,1,,0,2,,
B00380P,,Gading Harmony,,-6.165901,106.90179,1,,0,2,,
B00381P,,Gading Nirwana,,-6.148645,106.91295,1,,0,2,,
B00382P,,Gading Riveria,,-6.148327,106.91277,1,,0,2,,
B00383P,,Gading Serpong 1,,-6.230729,106.64138,1,,0,2,,
B00384P,,Gading Serpong 2,,-6.230464,106.64147,1,,0,2,,
B00385P,,Galeri Nasional,,-6.178553,106.83182,1,,0,2,,
B00386P,,Galeri Niaga Mediterania 1,,-6.116646,106.77135,1,,0,2,,
B00387P,,Galur 1,,-6.174567,106.85493,1,,0,2,,
B00388P,,Galur 2,,-6.174192,106.855,1,,0,2,,
B00389P,,Gama Tower,,-6.22414,106.83303,1,,0,2,,
B00391P,,Gandaria City,,-6.243912,106.7824,1,,0,2,,
B00393P,,Gg. Abdul Hamid,,-6.137241,106.81896,1,,0,2,,
B00394P,,Gg. Ahmad Squadron,,-6.268976,106.87751,1,,0,2,,
B00395P,,Gg. Aim 1,,-6.200344,106.9351,1,,0,2,,
B00396P,,Gg. Aim 2,,-6.200395,106.93515,1,,0,2,,
B00397P,,Gg. Al Khoiriyah Cibubur,,-6.363732,106.88431,1,,0,2,,
B00398P,,Gg. Al Mawaddah Tengah,,-6.287911,106.86292,1,,0,2,,
B00399P,,Gg. Alfa Tanah Tinggi,,-6.18272,106.84839,1,,0,2,,
B00400P,,Gg. Ali,,-6.307683,106.87636,1,,0,2,,
B00401P,,Gg. Amd XXVIII Balekambang,,-6.289318,106.85383,1,,0,2,,
B00403P,,Gg. Anawinka Naga Raya,,-6.223403,106.90762,1,,0,2,,
B00404P,,Gg. Anggur Cipete Dalam,,-6.276068,106.80052,1,,0,2,,
B00405P,,Gg. Ani Raya Condet,,-6.266674,106.86054,1,,0,2,,
B00406P,,Gg. Arba Johar Baru,,-6.185385,106.85234,1,,0,2,,
B00407P,,Gg. Asem Ciracas,,-6.321196,106.87024,1,,0,2,,
