route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.35,SH,JAK.35-R05,Pangkalan Jati - Rawamangun,0,,JAK.35-R05_shp
JAK.36,SH,JAK.36-R03,Cilangkap - Cililitan,0,,2yrb
JAK.36,SH,JAK.36-R04,Cililitan - Cilangkap,1,,nwut
JAK.37,SH,JAK.37-R01,Cililitan - Condet Via Kayu Manis,0,,JAK.37-R01_shp
JAK.37,SH,JAK.37-R02,Condet - Cililitan Via Kayu Manis,1,,JAK.37-R02_shp
JAK.38,SH,JAK.38-R01,Bulak Ringin - Kampung Rambutan,0,,JAK.38-R01_shp
JAK.38,SH,JAK.38-R02,Kampung Rambutan - Bulak Ringin,1,,JAK.38-R02_shp
JAK.39,SH,JAK.39-R01,Duren Sawit - Kalimalang,0,,JAK.39-R01_shp
JAK.39,SH,JAK.39-R02,Kalimalang - Duren Sawit,1,,JAK.39-R02_shp
JAK.40,SH,JAK.40-R02,Pulo Gebang - Harapan Baru Via Rawa Kuning,1,,JAK.40-R02_shp
JAK.40,SH,JAK.40-R03,Harapan Baru - Pulo Gebang Via Rawa Kuning,0,,JAK.40-R03_shp
JAK.41,SH,JAK.41-R01,Kampung Melayu - Pulo Gadung,0,,JAK.41-R01_shp
JAK.41,SH,JAK.41-R02,Pulo Gadung - Kampung Melayu,1,,JAK.41-R02_shp
JAK.42,SH,JAK.42-R01,Kampung Melayu - Pondok Kelapa,0,,JAK.42-R01_shp
JAK.42,SH,JAK.42-R02,Pondok Kelapa - Kampung Melayu,1,,JAK.42-R02_shp
JAK.43B,SH,JAK.43B-R01,Tongtek - Tebet Eco Park (TEP) - Cililitan,0,,JAK.43B-R01_shp
JAK.43B,SH,JAK.43B-R02,Cililitan - Tebet Eco Park (TEP) - Tongtek,1,,JAK.43B-R02_shp
JAK.43C,SH,JAK.43C-R01,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,0,,JAK.43C-R01_shp
JAK.43C,SH,JAK.43C-R02,Stasiun Cawang - Tebet Eco Park (TEP) - Sarana Jaya,1,,JAK.43C-R02_shp
JAK.44,SH,JAK.44-R01,Andara - Stasiun Universitas Pancasila,0,,JAK.44-R01_shp
JAK.44,SH,JAK.44-R02,Stasiun Universitas Pancasila - Andara,1,,JAK.44-R02_shp
JAK.45,SH,JAK.45-R01,Lebak Bulus - Ragunan,0,,JAK.45-R01_shp
JAK.45,SH,JAK.45-R02,Ragunan - Lebak Bulus,1,,JAK.45-R02_shp
JAK.46,SH,JAK.46-R01,Jagakarsa - Pasar Minggu,0,,JAK.46-R01_shp
JAK.46,SH,JAK.46-R02,Pasar Minggu - Jagakarsa,1,,JAK.46-R02_shp
JAK.47,SH,JAK.47-R01,Ciganjur - Pasar Minggu Via KB Ragunan,0,,JAK.47-R01_shp
JAK.47,SH,JAK.47-R02,Pasar Minggu - Ciganjur Via KB Ragunan,1,,JAK.47-R02_shp
JAK.48A,SH,JAK.48A-R01,Stasiun Tebet - Rusun Karet Tengsin,0,,8nsx
JAK.48A,SH,JAK.48A-R02,Rusun Karet Tengsin - Stasiun Tebet,1,,i7x0
JAK.49,SH,JAK.49-R06,Lebak Bulus - Cipulir,0,,s8jt
JAK.49,SH,JAK.49-R07,Cipulir - Lebak Bulus,1,,f10m
JAK.50,SH,JAK.50-R01,Kalideres - Puri Kembangan,0,,JAK.50-R01_shp
JAK.50,SH,JAK.50-R03,Puri Kembangan - Kalideres,1,,JAK.50-R03_shp
JAK.51,SH,JAK.51-R01,Budi Luhur - Taman Kota,0,,JAK.51-R01_shp
JAK.51,SH,JAK.51-R02,Taman Kota - Budi Luhur,1,,JAK.51-R02_shp
JAK.52,SH,JAK.52-R06,Term. Kalideres - Term. Muara Angke,0,,izfu
JAK.52,SH,JAK.52-R07,Term. Muara Angke - Term. Kalideres,1,,jm1x
JAK.53,SH,JAK.53-R01,Grogol - Pos Pengumben Via Slipi,0,,JAK.53-R01_shp
JAK.53,SH,JAK.53-R02,Pos Pengumben - Grogol Via Slipi,1,,JAK.53-R02_shp
JAK.54,SH,JAK.54-R01,Benhil - Grogol,0,,JAK.54-R01_shp
JAK.54,SH,JAK.54-R02,Grogol - Benhil,1,,JAK.54-R02_shp
JAK.56,SH,JAK.56-R03,Srengseng - Grogol,1,,JAK.56-R03_shp
JAK.56,SH,JAK.56-R04,Grogol - Srengseng,0,,JAK.56-R04_shp
JAK.58,SH,JAK.58-R03,Cilincing - Rorotan,0,,JAK.58-R03_shp
JAK.58,SH,JAK.58-R04,Rorotan - Cilincing,1,,JAK.58-R04_shp
JAK.59,SH,JAK.59-R05,Rawamangun - Tanah Merah,1,,0n91
JAK.59,SH,JAK.59-R06,Tanah Merah - Rawasengon,0,,wkgs
JAK.60,SH,JAK.60-R03,Kelapa Gading - Rusun Kemayoran,0,,JAK.60-R03_shp
JAK.60,SH,JAK.60-R04,Rusun Kemayoran - Kelapa Gading,1,,JAK.60-R04_shp
JAK.61,SH,JAK.61-R01,Cempaka Putih - Pulo Gadung Via Kelapa Gading,0,,JAK.61-R01_shp
JAK.61,SH,JAK.61-R02,Pulo Gadung - Cempaka Putih Via Kelapa Gading,1,,JAK.61-R02_shp
JAK.64,SH,JAK.64-R01,Aseli - Lenteng Agung,0,,JAK.64-R01_shp
JAK.64,SH,JAK.64-R02,Lenteng Agung - Aseli,1,,JAK.64-R02_shp
JAK.71,SH,JAK.71-R01,Kampung Rambutan - Pinang Ranti,0,,JAK.71-R01_shp
JAK.71,SH,JAK.71-R02,Pinang Ranti - Kampung Rambutan,1,,JAK.71-R02_shp
JAK.72,SH,JAK.72-R01,Kampung Rambutan - Pasar Rebo Via Poncol,0,,JAK.72-R01_shp
JAK.72,SH,JAK.72-R02,Pasar Rebo - Kampung Rambutan Via Poncol,1,,JAK.72-R02_shp
JAK.73,SH,JAK.73-R03,Jambore Cibubur - Pasar Rebo,0,,zjnw
JAK.73,SH,JAK.73-R04,Pasar Rebo - Jambore Cibubur,1,,68hy
JAK.74,SH,JAK.74-R01,Cipinang Muara - Rawamangun,0,,JAK.74-R01_shp
JAK.74,SH,JAK.74-R02,Rawamangun - Cipinang Muara,1,,JAK.74-R02_shp
JAK.75,SH,JAK.75-R01,Cililitan - Kampung Pulo,0,,JAK.75-R01_shp
JAK.75,SH,JAK.75-R03,Kampung Pulo - Cililitan,1,,3b9p
JAK.77,SH,JAK.77-R01,Jembatan Item - Tanjung Priok,0,,JAK.77-R01_shp
JAK.77,SH,JAK.77-R02,Tanjung Priok - Jembatan Item,1,,JAK.77-R02_shp
JAK.80,SH,JAK.80-R01,Rawa Buaya - Rawa Kompeni,0,,JAK.80-R01_shp
JAK.80,SH,JAK.80-R03,Rawa Kompeni - Rawa Buaya,1,,JAK.80-R03_shp
JAK.84,SH,JAK.84-R03,Kampung Melayu - Pangkalan Jati,0,,JAK.84-R03_shp
JAK.84,SH,JAK.84-R04,Pangkalan Jati - Kampung Melayu,1,,ritj
JAK.85,SH,JAK.85-R01,Bintara - Cipinang Indah,0,,JAK.85-R01_shp
JAK.85,SH,JAK.85-R02,Cipinang Indah - Bintara,1,,JAK.85-R02_shp
JAK.86,SH,JAK.86-R03,Term. Rawamangun - Term. Manggarai,0,,wuw9
JAK.86,SH,JAK.86-R04,Term. Manggarai - Term. Rawamangun,1,,qyqk
JAK.88,SH,JAK.88-R01,Terminal Tanjung Priok - Ancol Barat,0,,JAK.88-R01_shp
JAK.88,SH,JAK.88-R02,Ancol Barat - Terminal Tanjung Priok,1,,JAK.88-R02_shp
JAK.99,SH,JAK.99-R01,Term. Pulo Gadung - Lampiri,0,,JAK.99-R01_shp
JAK.99,SH,JAK.99-R02,Lampiri - Term. Pulo Gadung,1,,JAK.99-R02_shp
JIS3,SH,JIS3-R05,Jakarta International Stadium - Juanda,0,,5h23
JIS3,SH,JIS3-R06,Juanda - Jakarta International Stadium,1,,bw01
L13E,SH,L13E-R03,Puri Beta - Latuharhary,0,,L13E-R03_shp
L13E,SH,L13E-R04,Latuharhary - Puri Beta,1,,L13E-R04_shp
M1,SH,M1-R03,Blok M - Kali Besar Barat,0,,8yfa
M1,SH,M1-R04,Kali Besar Barat - Blok M,1,,o6b8
M10,SH,M10-R01,PGC 2 - Tanjung Priok,0,,M10-R01_shp
M10,SH,M10-R02,Tanjung Priok - PGC 2,1,,M10-R02_shp
M11,SH,M11-R03,Pulo Gebang - Kampung Melayu,0,,ulrj
M11,SH,M11-R04,Kampung Melayu - Pulo Gebang,1,,fmil
M12,SH,M12-R03,Sunter Boulevard Barat - Penjaringan,0,,M12-R01_shp
M12,SH,M12-R02,Penjaringan - Sunter Boulevard Barat,1,,M12-R02_shp
M13,SH,M13-R01,Puri Beta 2 - Tendean,0,,M13-R01_shp
M13,SH,M13-R02,Tendean - Puri Beta 2,1,,M13-R02_shp
M2,SH,M2-R03,Pulo Gadung - Monas,1,,vcut
M2,SH,M2-R04,Monas - Pulo Gadung,0,,0nuu
M3,SH,M3-R07,Kalideres - Monas,0,,qtlc
M3,SH,M3-R08,Monas - Kalideres,1,,paxl
M4,SH,M4-R05,Pulo Gadung 2 - Dukuh Atas 2,0,,4hpb
M4,SH,M4-R06,Dukuh Atas 2 - Pulo Gadung 2,1,,i3pk
M5,SH,M5-R01,PGC 2 - Ancol,0,,M5-R01_shp
M5,SH,M5-R02,Ancol - PGC 2,1,,M5-R02_shp
M6,SH,M6-R05,Ragunan - Dukuh Atas 2,0,,kesn
M6,SH,M6-R06,Dukuh Atas 2 - Ragunan,1,,kqjq
M7,SH,M7-R05,Kampung Rambutan - Kampung Melayu,0,,3agi
M7,SH,M7-R06,Kampung Melayu - Kampung Rambutan,1,,lai5
M8,SH,M8-R05,Lebak Bulus - Pasar Baru,0,,7qxz
M8,SH,M8-R04,Pasar Baru - Lebak Bulus,1,,zt0f
M9,SH,M9-R01,Pinang Ranti - Pluit,0,,M9-R01_shp
M9,SH,M9-R02,Pluit - Pinang Ranti,1,,M9-R02_shp
R1A,SH,R1A-R01,Pantai Maju - Kota,0,,R1A-R01_shp
R1A,SH,R1A-R02,Kota - Pantai Maju,1,,R1A-R02_shp
S11,SH,S11-R03,BSD - Jelambar,0,,S11-R03_shp
S11,SH,S11-R05,Jelambar - BSD,1,,vzna
S12,HK,S12-R03,BSD - Fatmawati,0,,S12-R03_shp
S12,HK,S12-R04,Fatmawati - BSD,1,,S12-R04_shp
S21,SH,S21-R03,Ciputat - Kejaksaan Agung,0,,S21-R03_shp
S21,SH,S21-R04,Kejaksaan Agung - Ciputat,1,,S21-R04_shp
S22,HK,S22-R01,Ciputat - Kampung Rambutan,0,,S22-R01_shp
S22,HK,S22-R02,Kampung Rambutan - Ciputat,1,,S22-R02_shp
S31,HK,S31-R01,Bintaro - Fatmawati,0,,S31-R01_shp
S31,HK,S31-R02,Fatmawati - Bintaro,1,,S31-R02_shp
T11,HM,T11-R01C,Poris Plawad - Bundaran Senayan,0,,T11-R01C_shp
T11,HM,T11-R03C,Bundaran Senayan - Poris Plawad,1,,T11-R03C_shp
T11,HR,T11-R01,Poris Plawad - Bundaran Senayan,0,,pilo
T11,HR,T11-R03,Bundaran Senayan - Poris Plawad,1,,5ulq
T11,HM,T11-R04,Poris Plawad - Senayan City,0,,r7ph
T11,HM,T11-R05,Senayan City - Poris Plawad,1,,1iyq
T12,HK,T12-R03,Poris  Plawad - Juanda,0,,p1qd
T12,HK,T12-R02,Juanda - Poris Plawad,1,,T12-R02_shp
7R,HK,7R-R01,Cibubur - Pluit,0,,g49w
7T,HK,7T-R01,Cibubur - Tanjung Priok,0,,jtn1
1N,SH,1N-R03,Tanah Abang - Blok M,0,,7n6p
1N,SH,1N-R04,Blok M - Tanah Abang,1,,3psm
8C,SH,8C-R05,Kebayoran Lama - Tanah Abang,0,,g8xe
8C,SH,8C-R06,Tanah Abang - Kebayoran Lama,1,,ux4b
6K,SH,6K-R03,Departemen Kesehatan - Karet,0,,57jt
6K,SH,6K-R04,Karet - Departemen Kesehatan,1,,psf2
SH1,SH,SH1-R01,Kalideres - Perkantoran Soekarno-Hatta,0,,g14t
SH1,SH,SH1-R02,Perkantoran Soekarno-Hatta - Kalideres,1,,phtm
JAK.105,SH,JAK.105-R01,Stasiun Tebet - Rusun Cipinang Muara,0,,f1c5
JAK.105,SH,JAK.105-R02,Rusun Cipinang Muara - Stasiun Tebet,1,,0m2z
JAK.89,SH,JAK.89-R01,Terminal Tanjung Priok - Taman Kota Intan,0,,ffuw
JAK.89,SH,JAK.89-R02,Taman Kota Intan - Terminal Tanjung Priok,1,,uatj
JAK.90,SH,JAK.90-R01,Terminal Tanjung Priok - Rusun Kemayoran,0,,uivq
JAK.90,SH,JAK.90-R02,Rusun Kemayoran - Terminal Tanjung Priok,1,,8exo
7U,HK,7U-R01,Cibubur - Ancol,0,,avs0
7V,HK,7V-R01,Cibubur - Kampung Rambutan,0,,t566
7V,HK,7V-R02,Kampung Rambutan - Cibubur,1,,2e1d
1U,HK,1U-R03,Taman Mini - Balai Kota,0,,xvv6
1U,HK,1U-R04,Balai Kota - Taman Mini,1,,b9pe
TP1,TP_HK,TP1-R01,Terminal Bubulak - Cibubur,0,,j584
TP1,TP_HK,TP1-R02,Cibubur - Terminal Bubulak,1,,juf6
TP2,TP_HK,TP2-R01,Terminal Baranangsiang - Cibubur,0,,yb9l
TP2,TP_HK,TP2-R02,Cibubur - Terminal Baranangsiang,1,,g7oz
FIBA WC 2023,FB_SH,FIBAST-L01,FIBA World Cup 2023,0,,p7ee
JAK.87,SH,JAK.87-R01,Term. Tanjung Priok - Term. Rawamangun,0,,t0mm
JAK.87,SH,JAK.87-R02,Term. Rawamangun - Term. Tanjung Priok,1,,oukm
JAK.76,JAK.76_SH,JAK.76-R01,Jln. Industri Raya - ASMI,0,,ce1y
JAK.76,JAK.76_SH,JAK.76-R02,ASMI - Jln. Industri Raya,1,,aorq
JAK.98,SH,JAK.98-R01,Term. Kampung Rambutan - Munjul,0,,7ako
JAK.98,SH,JAK.98-R02,Munjul - Term. Kampung Rambutan,1,,ua2b
