route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1B,SH,1B-R01,Stasiun Palmerah - Tosari,0,,1B-R01_shp
1B,SH,1B-R02,Tosari - Stasiun Palmerah,1,,1B-R02_shp
1C,SH,1C-R01,Pesanggrahan - Blok M,0,,1C-R01_shp
1C,SH,1C-R02,Blok M - Pesanggrahan,1,,1C-R02_shp
1E,SH,1E-R01,Pondok Labu - Blok M,0,,1E-R01_shp
1E,SH,1E-R02,Blok M - Pondok Labu,1,,1E-R02_shp
1F,HK,1F-R01,Stasiun Palmerah - Bundaran Senayan,0,,ibby
1F,HK,1F-R02,Bundaran Senayan - Stasiun Palmerah,1,,t04u
1H,SH,1H-R01,Stasiun Gondangdia - Tanah Abang,0,,1H-R01_shp
1H,SH,1H-R02,Tanah Abang - Stasiun Gondangdia,1,,1H-R02_shp
1K,HK,1K-R01,Cibubur - Blok M,0,,1K-R01_shp
1K,HK,1K-R02,Blok M - Cibubur,1,,1K-R02_shp
1M,SH,1M-R01,Meruya - Blok M,0,,1M-R01_shp
1M,SH,1M-R02,Blok M - Meruya,1,,1M-R02_shp
1P,SH,1P-R03,Senen - Blok M,0,,1P-R03_shp
1P,SH,1P-R04,Blok M - Senen,1,,1P-R04_shp
1Q,SH,1Q-R01,Rempoa - Blok M,0,,1Q-R01_shp
1Q,SH,1Q-R02,Blok M - Rempoa,1,,1Q-R02_shp
1R,HK,1R-R05,Senen - Tanah Abang,0,,4w0n
1R,HK,1R-R04,Tanah Abang - Senen,1,,gtbj
1T,HK,1T-R03,Cibubur - Balai Kota,0,,kc0p
1T,HK,1T-R04,Balai Kota - Cibubur,1,,1kux
2,SH,2-R05,Pulo Gadung - Monas,0,,0d2b
2,SH,2-R04,Monas - Pulo Gadung,1,,7maa
2A,SH,2A-R03,Pulo Gadung - Rawa Buaya,0,,2A-R03_shp
2A,SH,2A-R04,Rawa Buaya - Pulo Gadung,1,,2A-R04_shp
2B,SH,2B-R03,Transera Harapan Indah - ASMI,0,,xdnl
2B,SH,2B-R04,ASMI - Harapan Indah Transera,1,,y4dm
2E,SH,2E-R03,Rusun Rawa Bebek - Kodamar,0,,2E-R03_shp
2E,SH,2E-R04,Kodamar - Rusun Rawa Bebek,1,,2E-R04_shp
2F,SH,2F-R01,Pulo Gadung - Rusun Cakung Barat Albo,0,,2F-R01_shp
2F,SH,2F-R03,Rusun Cakung Barat Albo - Pulo Gadung,1,,2F-R03_shp
2H,SH,2H-R03,Rusun Jati Rawasari - Senen,0,,2H-R03_shp
2H,SH,2H-R04,Senen - Rusun Jati Rawasari,1,,2H-R04_shp
2P,SH,2P-R05,Gondangdia - Senen,0,,2P-R05_shp
2P,SH,2P-R08,Senen - Gondangdia,1,,s55r
2Q,SH,2Q-R01,Gondangdia - Balai Kota,0,,2Q-R01_shp
2Q,SH,2Q-R02,Balai Kota - Gondangdia,1,,2Q-R02_shp
2ST,SH,2ST-L02,Juanda - Bundaran HI - Juanda via Pasar Baru,0,,xwq4
3,HR,3-R05,Kalideres - Monas,0,,z4hg
3,HM,3-R05C,Kalideres - Monas,0,,3-R05C_shp
3,HR,3-R06,Monas - Kalideres,1,,6jrs
3,HM,3-R06C,Monas - Kalideres,1,,3-R06C_shp
3,HM,3-R11,Kalideres - Monas via Hasyim Ashari (CFD Jakpus),0,,wvdh
3,HM,3-R12,Monas - Kalideres via Hasyim Ashari (CFD Jakpus),1,,pix2
3A,SH,3A-R01,Rusun Pesakih - Kalideres,0,,3A-R01_shp
3A,SH,3A-R02,Kalideres - Rusun Pesakih,1,,3A-R02_shp
3B,SH,3B-R03,Rusun Flamboyan - Cengkareng,0,,3B-R03_shp
3B,SH,3B-R04,Cengkareng - Rusun Flamboyan,1,,3B-R04_shp
3C,SH,3C-R01,Rusun Kapuk Muara - Penjaringan,0,,3C-R01_shp
3C,SH,3C-R02,Penjaringan - Rusun Kapuk Muara,1,,3C-R02_shp
3E,SH,3E-R04,Sentraland Cengkareng - Puri Kembangan,0,,3E-R04_shp
3E,SH,3E-R06,Puri Kembangan - Sentraland Cengkareng,1,,hbtb
3F,SH,3F-R01,Kalideres - Gelora Bung Karno,1,,3F-R01_shp
3F,SH,3F-R02,Gelora Bung Karno - Kalideres,0,,3F-R02_shp
3H,SH,3H-R03,Jelambar - Kota,0,,mh5m
3H,SH,3H-R04,Kota - Jelambar,1,,ly6c
4,HR,4-R10,Pulo Gadung 2 - Dukuh Atas 2,0,,qhy5
4,HM,4-R10C,Pulo Gadung 2 - Dukuh Atas 2,0,,4-R10C_shp
4,HR,4-R11,Dukuh Atas 2 - Pulo Gadung 2,1,,lhf3
4,HM,4-R11C,Dukuh Atas 2 - Pulo Gadung 2,1,,4-R11C_shp
4,HM,4-R12,Pulo Gadung 2 - Dukuh Atas 2 via Bermis (CFD),0,,ekfo
4,HM,4-R13,Dukuh Atas 2 - Pulo Gadung 2 via Bermis (CFD),1,,lqtt
4B,SH,4B-R01,Stasiun Manggarai - Universitas Indonesia,0,,4B-R01_shp
4B,SH,4B-R02,Universitas Indonesia - Stasiun Manggarai,1,,4B-R02_shp
4C,SH,4C-R01,TU Gas - Bundaran Senayan,0,,ayiz
4C,SH,4C-R02,Bundaran Senayan - TU Gas,1,,xn1v
4D,HK,4D-R04,Pulo Gadung 2 - Kuningan,0,,6cy6
4D,HK,4D-R06,Kuningan - Pulo Gadung 2,1,,c7sk
4E,SH,4E-R01,Rusun Jatinegara Kaum - Pulo Gadung,0,,4E-R01_shp
4E,SH,4E-R03,Pulo Gadung - Rusun Jatinegara Kaum,1,,4E-R03_shp
4F,SH,4F-R03,Pinang Ranti - Pulo Gadung,0,,gywy
4F,SH,4F-R04,Pulo Gadung - Pinang Ranti,1,,4F-R04_shp
5,SH,5-R01,Kampung Melayu - Ancol,0,,7gcp
5,SH,5-R02,Ancol - Kampung Melayu,1,,06fg
5B,HK,5B-R05,Stasiun Tebet - Bidara Cina,0,,lhk3
5B,HK,5B-R06,Bidara Cina - Stasiun Tebet,1,,vhge
5C,SH,5C-R09,PGC - Juanda,0,,nfz8
5C,SH,5C-R10,Juanda - PGC ,1,,8wrf
5D,HK,5D-R01,PGC 1 - Ancol,0,,5D-R01_shp
5D,HK,5D-R02,Ancol - PGC 1,1,,5D-R02_shp
5F,SH,5F-R03,Kampung Melayu - Tanah Abang,0,,mjsb
5F,SH,5F-R04,Tanah Abang - Kampung Melayu,1,,9mxc
5M,SH,5M-R05,Kampung Melayu - Tanah Abang,0,,d2wc
5M,SH,5M-R04,Tanah Abang - Kampung Melayu,1,,5M-R04_shp
5N,SH,5N-R01,Kampung Melayu - Ragunan,0,,5N-R01_shp
5N,SH,5N-R02,Ragunan - Kampung Melayu,1,,5N-R02_shp
6,SH,6-R03,Ragunan - Dukuh Atas 2,0,,f8tv
6,SH,6-R04,Dukuh Atas 2 - Ragunan,1,,vpwb
6A,HK,6A-R03,Ragunan - MH Thamrin via Kuningan,0,,6A-R03_shp
6A,HK,6A-R04,MH Thamrin - Ragunan via Kuningan,1,,6A-R04_shp
6B,SH,6B-R03,Ragunan - MH Thamrin via Semanggi,0,,6B-R03_shp
6B,SH,6B-R04,MH Thamrin - Ragunan via Semanggi,1,,6B-R04_shp
6C,SH,6C-R03,Stasiun Tebet - Departemen Kesehatan,0,,1fh5
6C,SH,6C-R04,Departemen Kesehatan - Stasiun Tebet,1,,neg8
6D,SH,6D-R03,Stasiun Tebet - Bundaran Senayan,1,,6D-R03_shp
6D,SH,6D-R04,Bundaran Senayan - Stasiun Tebet,0,,6D-R04_shp
6H,SH,6H-R05,Senen - Lebak Bulus,0,,phlx
6H,SH,6H-R04,Lebak Bulus - Senen,1,,6H-R04_shp
6M,SH,6M-R01,Stasiun Manggarai - Blok M,0,,6s4r
6M,SH,6M-R02,Blok M - Stasiun Manggarai,1,,q0cc
6N,SH,6N-R05,Ragunan - Blok M Via Kemang,0,,67gz
6N,SH,6N-R06,Blok M - Ragunan Via Kemang,1,,q8bz
6P,HK,6P-R01,Cibubur - Kuningan,0,,6P-R01_shp
6P,HK,6P-R02,Kuningan - Cibubur,1,,6P-R02_shp
6Q,SH,6Q-R06,Dukuh Atas - Casablanca via Epicentrum Raya,0,,qrof
6Q,SH,6Q-R07,Casablanca - Dukuh Atas via Epincentrum Raya,1,,w2h8
6T,SH,6T-R01,Pasar Minggu - Velbak,0,,6T-R01_shp
6T,SH,6T-R02,Velbak - Pasar Minggu,1,,6T-R02_shp
6U,SH,6U-R01,Blok M - Pasar Minggu,0,,6U-R01_shp
6U,SH,6U-R02,Pasar Minggu - Blok M,1,,6U-R02_shp
6V,HK,6V-R01,Ragunan - Gelora Bung Karno,0,,w9zp
6V,HK,6V-R02,Gelora Bung Karno - Ragunan,1,,wdd8
7,SH,7-R01,Kampung Rambutan - Kampung Melayu,0,,jzgu
7,SH,7-R02,Kampung Melayu - Kampung Rambutan,1,,6y7e
7A,SH,7A-R01,Kampung Rambutan - Lebak Bulus,0,,7A-R01_shp
7A,SH,7A-R02,Lebak Bulus - Kampung Rambutan,1,,7A-R02_shp
7B,SH,7B-R02,Blok M - Kampung Rambutan,1,,7B-R02_shp
7B,SH,7B-R03,Kampung Rambutan - Blok M,0,,7B-R03_shp
7C,SH,7C-R01,Cibubur - BKN,0,,7C-R01_shp
7C,SH,7C-R02,BKN - Cibubur,1,,7C-R02_shp
7D,SH,7D-R16,TMII - Tegal Parang,1,,oxoo
7D,SH,7D-R17,Tegal Parang - TMII,0,,rqeg
7E,SH,7E-R01,Kampung Rambutan - Ragunan,0,,7E-R01_shp
7E,SH,7E-R05,Ragunan - Kampung Rambutan,1,,7E-R05_shp
7F,HK,7F-R05,Kampung Rambutan - Juanda,0,,14r8
7F,HK,7F-R06,Juanda - Kampung Rambutan,1,,3ggl
7P,SH,7P-R01,Pondok Kelapa - BKN,0,,7P-R01_shp
7P,SH,7P-R02,BKN - Pondok Kelapa,1,,7P-R02_shp
7Q,HK,7Q-R01,Blok M - PGC,0,,7Q-R01_shp
7Q,HK,7Q-R02,PGC - Blok M,1,,7Q-R02_shp
8,SH,8-R07,Lebak Bulus - Pasar Baru,0,,jl9u
8,SH,8-R04,Pasar Baru - Lebak Bulus,1,,8-R04_shp
8A,HM,8A-R03,Jelambar - Juanda,0,,e52d
8A,HM,8A-R04,Juanda - Jelambar,1,,w6vl
8D,SH,8D-R01,Blok M - Joglo,0,,8D-R01_shp
8D,SH,8D-R02,Joglo - Blok M,1,,8D-R02_shp
8E,SH,8E-R01,Bintaro - Blok M,0,,8E-R01_shp
8E,SH,8E-R03,Blok M - Bintaro,1,,xhbh
8K,SH,8K-R05,Batu Sari - Jelambar,0,,gl7q
8K,SH,8K-R07,Jelambar - Batu Sari,1,,nvly
8M,SH,8M-R02,Tanah Abang - S. Parman,1,,8M-R02_shp
8M,SH,8M-R03,S. Parman - Tanah Abang,0,,rrvd
8ST,SH,8ST-R01,Senayan JCC - Slipi Kemanggisan,0,,84pc
8ST,SH,8ST-R02,Slipi Kemanggisan - Senayan JCC,0,,jkpe
9,SH,9-R01,Pinang Ranti - Pluit,0,,9-R01_shp
9,SH,9-R02,Pluit - Pinang Ranti,1,,9-R02_shp
9A,SH,9A-R05,PGC 1 - Latumeten,0,,0swy
9A,SH,9A-R06,Latumeten - PGC 1,1,,kxq9
9C,SH,9C-R01,Pinang Ranti - Bundaran Senayan,0,,nbut
9C,SH,9C-R02,Bundaran Senayan - Pinang Ranti,1,,76io
9D,SH,9D-R03,Tanah Abang - Pasar Minggu,0,,9D-R03_shp
9D,SH,9D-R04,Pasar Minggu - Tanah Abang,1,,9D-R04_shp
9E,HK,9E-R01,Kebayoran Lama - Jelambar,0,,9E-R01_shp
9E,HK,9E-R03,Jelambar - Kebayoran Lama,1,,zl3f
9F,SH,9F-R01,Rusun Tambora - Pluit,0,,9F-R01_shp
9F,SH,9F-R02,Pluit - Rusun Tambora,1,,9F-R02_shp
9H,HK,9H-R04,Blok M - Universitas Indonesia,1,,9H-R04_shp
9H,HK,9H-R05,Universitas Indonesia - Blok M,0,,9H-R05_shp
9N,SH,9N-R03,Pinang Ranti - Cawang Soetoyo,0,,ptzz
9N,SH,9N-R04,Cawang Soetoyo - Pinang Ranti,1,,l7sv
9ST,SH,9ST-R01,Indosiar - Jembatan Besi,0,,3l33
9ST,SH,9ST-R02,Jembatan Besi - Indosiar,1,,3o8m
B11,SH,B11-R08,BNN - Summarecon Bekasi,1,,3l4u
B11,SH,B11-R09,Summarecon Bekasi - BNN,0,,5b90
B13,HK,B13-R01,Bekasi Barat - Blok M,0,,B13-R01_shp
B13,HK,B13-R02,Blok M - Bekasi Barat,1,,B13-R02_shp
B14,HK,B14-R01,Bekasi Barat - Kuningan,0,,B14-R01_shp
B14,HK,B14-R02,Kuningan - Bekasi Barat,1,,B14-R02_shp
B21,SH,B21-R07,Bekasi Timur - BNN,0,,425j
B21,SH,B21-R08,BNN - Bekasi Timur,1,,wqde
BW2,SH,BW2-L01,Jakarta Modern,0,,BW2-L01_shp
BW4,SH,BW4-L01,Pencakar Langit,0,,BW4-L01_shp
BW9,SH,BW9-R01,IRTI - Pantai Maju,0,,9s06
BW9,SH,BW9-R03,Pantai Maju - IRTI,0,,2xlg
D11,SH,D11-R03,Depok - PGC 1,0,,d3g6
D11,SH,D11-R04,PGC 1 - Depok,1,,2o7o
