bus_code,koridor,gpsdatetime,latitude,longitude,color,gpsheading,gpsspeed,is_new
TJ0843,4B,14/9/2023 20:06:17,-6.211601999999999,106.85488300000011,,114,17.8,0
TJ0843,4B,14/9/2023 20:06:19,-6.211649999999995,106.85497800000044,,117,19.3,0
TJ0843,4B,14/9/2023 20:06:22,-6.211713000000003,106.85511499999969,,116,18.0,0
TJ0843,4B,14/9/2023 20:06:24,-6.211749999999997,106.85519000000032,,113,17.7,0
TJ0843,4B,14/9/2023 20:06:27,-6.211783,106.855297,,110,13.3,0
TJ0843,4B,14/9/2023 20:06:29,-6.211806999999996,106.85536000000045,,108,12.2,0
TJ0843,4B,14/9/2023 20:06:31,-6.2118249999999975,106.85542200000022,,109,13.7,0
TJ0843,4B,14/9/2023 20:06:33,-6.211847999999997,106.85549800000022,,109,17.3,0
TJ0843,4B,14/9/2023 20:06:36,-6.211888000000004,106.85564199999968,,107,20.9,0
TJ0843,4B,14/9/2023 20:06:38,-6.211927000000004,106.85575699999968,,107,22.7,0
TJ0843,4B,15/9/2023 04:35:49,-6.303407,106.840677,,281,44.7,0
TJ0843,4B,15/9/2023 04:35:51,-6.303362000000001,106.84046,,281,44.0,0
TJ0843,4B,15/9/2023 04:35:52,-6.30334,106.840353,,281,44.4,0
TJ0843,4B,15/9/2023 04:35:56,-6.303252000000002,106.83991999999978,,282,44.8,0
TJ0843,4B,15/9/2023 04:35:57,-6.303227000000002,106.83981199999978,,282,44.0,0
TJ0843,4B,15/9/2023 04:36:00,-6.303150000000004,106.83949299999956,,283,43.7,0
TJ0843,4B,15/9/2023 04:36:02,-6.303094999999998,106.83928200000013,,285,44.6,1
TJ0843,4B,15/9/2023 04:36:05,-6.303002000000001,106.83895799999988,,286,45.7,1
TJ0843,4B,15/9/2023 04:36:07,-6.302937000000004,106.83874199999968,,287,44.8,1
TJ0516,4B,21/9/2023 19:14:47,-6.352457999999996,106.83242200000043,,189,9.0,0
TJ0516,4B,21/9/2023 19:14:50,-6.352534999999998,106.83238800000022,,208,8.6,0
TJ0516,4B,21/9/2023 19:14:52,-6.352625000000003,106.83237299999966,,197,14.9,0
TJ0516,4B,21/9/2023 19:14:55,-6.352792000000003,106.8323519999998,,192,19.4,0
TJ0516,4B,21/9/2023 19:14:57,-6.352905000000001,106.83234299999988,,187,19.9,0
TJ0516,4B,21/9/2023 19:15:00,-6.353087000000004,106.83233299999957,,184,21.0,0
TJ0516,4B,21/9/2023 19:15:02,-6.353209999999999,106.83232300000012,,186,22.2,0
TJ0516,4B,21/9/2023 19:15:05,-6.353423000000001,106.83230299999988,,187,24.6,0
